"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name", "num.nodes"
0.01,0.940581937263752,3.07095315032384,3.25613219735356,3.35760989635334,0.0447947928717034,0.215330910698916,0.0446368736103979,0.281509891520591,41.8688,523.70072,0.198796500467115,13.5425544467232,826.986157189441,0.0453528531909687,"forest.fire", 250
0.02,0.940121684885784,3.08404534205684,3.24967313781264,3.37778713140682,0.0475588928096047,0.202407303915005,0.0450280165424279,0.171003250145799,42.63184,530.60128,0.205284021461901,13.8115578772705,827.822883862231,0.0478213893823463,"forest.fire", 250
0.03,0.940626441224396,3.08776745220534,3.25238591138624,3.36900252610054,0.0455364338384488,0.204776135358288,0.0429548903702105,0.223863904338176,43.5488,522.0268,0.211108306754803,14.124775973447,819.284260779229,0.0488672904606255,"forest.fire", 250
0.04,0.941420040084431,3.08512889621532,3.25033375950268,3.37732919637143,0.0410232637523663,0.209058342966695,0.0448670840721928,0.180158765260321,44.3864,525.96576,0.216845190497982,14.3998911675079,837.395922219483,0.0488092327286993,"forest.fire", 250
0.05,0.942636754977783,3.09318959722848,3.25099614882981,3.38202798808886,0.0403845469727507,0.184730086598748,0.0365960985567895,0.156110497460967,45.36544,529.92952,0.224107056730589,14.7762361377587,827.230571524006,0.0513554955584524,"forest.fire", 250
0.06,0.942694248806051,3.10163387605002,3.24935484543797,3.38202965166217,0.0380853152188687,0.191098319373205,0.0511984953408286,0.161520698519258,46.4152,532.63664,0.23162613209075,15.1502361513844,852.998246252683,0.0506701370657473,"forest.fire", 250
0.07,0.942613886734101,3.10592444119014,3.25480974336798,3.38916595429816,0.0406991596729501,0.178853507420028,0.0415695856383574,0.119316064159577,47.47984,531.50584,0.238079121403169,15.5899607898653,831.245968865292,0.0517898791538563,"forest.fire", 250
0.08,0.942763433715454,3.11616375941809,3.25041916033214,3.38688972985472,0.0389753527131018,0.187892119382838,0.0492833490150021,0.153679973393469,48.48272,527.79296,0.243316089068071,15.8414849021206,830.847529839281,0.051467818225759,"forest.fire", 250
0.09,0.942982763822751,3.11780665954072,3.2508141371815,3.38378153929487,0.0403397289602815,0.174224299458662,0.0453083533324007,0.161185734725213,49.83584,530.44488,0.252459135763747,16.3817864074651,842.380901605659,0.0513925469312603,"forest.fire", 250
0.1,0.943208060958447,3.11859227510639,3.25163321054034,3.38980167313292,0.0410248626636995,0.171665403801654,0.0448260418071573,0.133568670657791,51.19232,532.03064,0.259584087386248,16.6604804497714,858.200135283119,0.0521013661762583,"forest.fire", 250
0.11,0.943747758340176,3.12800421503395,3.24820542601979,3.38811739710874,0.0407856519217112,0.170343974099788,0.0460284639465352,0.147010434508213,52.56512,525.2108,0.268433326949029,17.2688552886103,835.908787842645,0.0535316770870303,"forest.fire", 250
0.12,0.94461483696248,3.12721170085457,3.25285171454937,3.39153399286938,0.0393287547922356,0.16412241640243,0.0468302235655408,0.136045171903083,54.15392,527.54296,0.276997388833967,17.7816694935861,826.551875344632,0.0524409894090467,"forest.fire", 250
0.13,0.945569540447533,3.13455673959123,3.25101514101603,3.39234624942842,0.0359548415452446,0.157646068249106,0.0393014824723607,0.138866840749284,55.78976,527.44176,0.285711407558211,18.3447787032121,853.963081189395,0.052055504271181,"forest.fire", 250
0.14,0.945825302045616,3.13230794527699,3.25113169551458,3.3956443219678,0.0348666065242522,0.158491537463799,0.0463109382878566,0.111816779790978,57.58896,527.49944,0.297535558802648,19.0153517532067,849.422027422603,0.0541271110312614,"forest.fire", 250
0.15,0.945444211279298,3.13242173907908,3.25220234487127,3.39514326489456,0.0391345555088439,0.155637920089453,0.0465725840268744,0.131189653341118,59.55312,526.85832,0.308755123036695,19.6166868180346,844.686143341799,0.0557088996553372,"forest.fire", 250
0.16,0.946125621791586,3.13225914923659,3.24295698885614,3.39294159177978,0.0385167489193144,0.153377485041928,0.0616704043267422,0.139317715683163,61.53856,525.5308,0.318896434806309,20.1930221528721,848.770468873593,0.0562706550521807,"forest.fire", 250
0.17,0.946414627115279,3.13226808476196,3.2528156788339,3.39788941186899,0.0403625255137662,0.144648827831718,0.0358061806717731,0.122231381485712,64.10624,524.07936,0.332903413845169,21.2372836333385,826.60369400158,0.056305802968224,"forest.fire", 250
0.18,0.947515882156096,3.13601825121378,3.25426003917525,3.40034142626604,0.0360352201277873,0.126686306508708,0.0328278227930042,0.102634930259258,66.24848,528.58728,0.344870562889136,21.7652776485858,852.975321716389,0.0564867794744332,"forest.fire", 250
0.19,0.947672086849176,3.12987979826041,3.25129087024732,3.40076439064645,0.0370892192488935,0.12402193202521,0.042136658908231,0.103452608838752,69.444,524.0604,0.360749380740793,22.6488435229981,831.053437726402,0.0567007837098598,"forest.fire", 250
0.2,0.947674028253304,3.12264190119781,3.24817515243579,3.40183574396074,0.0388272906904535,0.140451434229937,0.0449683315489276,0.0987906548888595,72.56656,530.0804,0.374180227885088,23.3262217397531,879.484669139714,0.0556020930489689,"forest.fire", 250
0.21,0.949147471571938,3.11841177061885,3.25174617971039,3.40322214927771,0.0344891848222783,0.146456971764031,0.0380917532327498,0.099193521434982,76.09568,532.24768,0.392215423660042,24.3982508848552,860.10046231213,0.0558061914729223,"forest.fire", 250
0.22,0.949353549606325,3.11427746504854,3.24964369051383,3.39862286484621,0.0357154282992843,0.131546578726375,0.0408387032288918,0.117380959724109,79.26256,530.7768,0.407665371740248,25.1797205898448,827.98095544318,0.0552836721810924,"forest.fire", 250
0.23,0.950167074425668,3.10210861279668,3.25078729660795,3.40505624320099,0.033410101334804,0.133704944560071,0.0404718183575134,0.0946265665275136,83.84256,527.57776,0.428782608582442,26.3635304856637,850.5362520156,0.0556541854027241,"forest.fire", 250
0.24,0.9510093945777,3.09641864588957,3.25036269679991,3.40655674468929,0.0331161158118472,0.134909162939503,0.0368257911158654,0.0901401177421021,88.5032,522.14296,0.449626217712226,27.2840014707421,824.201187766023,0.0547837520625988,"forest.fire", 250
