"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name", "num.nodes"
0.01,0.838996278674941,1.74805317999504,0.844610067217574,0.113521575022598,0.207715964076328,0.16085979949248,0.347371254563286,0.3445182271228,0.9408,0.6448,0.00406666666666667,0.945101349533079,1.78644296095206,0.0182311093505952,"random.network", 50
0.0109090909090909,0.803293730759095,1.81985813373203,0.976073921816542,0.180726859092322,0.225383735439599,0.14228919535666,0.348674606242181,0.503463745305882,1.0224,0.842,0.00461333333333333,0.997655182540621,2.24556187092912,0.0178619772572455,"random.network", 50
0.0118181818181818,0.836380465181797,1.89149060930727,1.16234194347752,0.264571117062781,0.191206002123294,0.190317284403567,0.415622269422117,0.566960289320701,1.128,1.1416,0.00845333333333333,1.045013952321,2.78687683420684,0.0333515388545474,"random.network", 50
0.0127272727272727,0.839475820778594,1.96487916988815,1.27947039059113,0.349745304659204,0.193589107930111,0.169734530742732,0.451930745435694,0.657949350824934,1.248,1.6304,0.00562666666666667,1.09133635002971,3.68182854425314,0.0262312583651734,"random.network", 50
0.0136363636363636,0.842886971872047,2.01389938162888,1.41715958641305,0.453173180914584,0.189161939203649,0.169588604546092,0.43661631342627,0.680004990909516,1.3304,1.9928,0.01024,1.12622787578881,4.50653605911011,0.0440314824935222,"random.network", 50
0.0145454545454545,0.83834252981359,2.06253241080479,1.49624378291144,0.537070384621547,0.190258005162853,0.175795848605625,0.421924732057464,0.725566351004309,1.4208,2.3352,0.0103390476190476,1.17760068876782,5.17304404455327,0.0438351175896319,"random.network", 50
0.0154545454545455,0.827681251715041,2.15208862908699,1.85858457588558,0.730093981858806,0.197186981826379,0.132420337053749,0.437504795619379,0.767270994488535,1.5704,5.1972,0.0138133333333333,1.21397533081048,10.2284913453314,0.0594673222373302,"random.network", 50
0.0163636363636364,0.844720067154815,2.12524781509513,1.68253325131268,0.702519423992892,0.182952455932664,0.141204528376667,0.40891664777813,0.803337155067707,1.5704,3.2184,0.015312380952381,1.18952221390861,6.7770205168046,0.0655387736092094,"random.network", 50
0.0172727272727273,0.830452425220423,2.1869950795561,1.87232948517954,0.918221052852655,0.197838488946662,0.117740368469048,0.448030097786786,0.797327323785456,1.6824,4.7376,0.0212533333333333,1.24166093152553,9.62102058778103,0.0839244221450137,"random.network", 50
0.0181818181818182,0.850714756363774,2.27184556028216,2.05530600349518,0.871740209965504,0.178614392393859,0.145479839243063,0.365382736473397,0.889980633576798,1.7776,7.748,0.0208666666666667,1.31053523128913,14.4670241962192,0.0753285084414306,"random.network", 50
