"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name"
0.001,0.911420129473217,0.134435022177717,3.29340402202476,3.22731433100157,0.0462687717372272,0.0396609458554521,0.00750839553543556,0.002789518416323,8,18472.94882,0.639112079365079,0.125729710457627,29558.5531488721,0.0209905766647422,"small.world"
0.00149494949494949,0.911067832556162,0.188427898183285,3.29040911833086,3.23058745881484,0.0464589792114294,0.0431037796040538,0.0071077174972752,0.0030982724844365,8,15014.80818,0.637133634920635,0.154840880364295,23245.5821326848,0.0259019958901645,"small.world"
0.00198989898989899,0.911479237675977,0.228666211706047,3.28626984471656,3.23287738152834,0.0466159688338394,0.0409391278504378,0.00751609476301016,0.0032275981943225,8,13299.38368,0.63566046031746,0.175234009682336,20461.2692583732,0.0291930182485237,"small.world"
0.00248484848484848,0.911267957959589,0.276540798997182,3.2840764318661,3.23544489545152,0.0460561489834557,0.0430006404467875,0.00743415839103133,0.0034059032482317,8,11640.57718,0.633670412698413,0.19780917244224,17642.0746677672,0.0327047160296637,"small.world"
0.00297979797979798,0.911366812313558,0.321793201951792,3.28030659383479,3.2380056636811,0.0463238965508235,0.0579244313358702,0.00728041046231561,0.00392425643467071,8,10621.04774,0.632033253968254,0.217901391864582,15836.2613532823,0.0357846285920841,"small.world"
0.00347474747474748,0.911980985771005,0.356884364867286,3.27911309051142,3.23994799743119,0.0458688422666168,0.0459871887048493,0.00588649914063001,0.00347531596565944,8,9929.69686,0.630333555555556,0.232657389938723,14659.8024632272,0.038204771011933,"small.world"
0.00396969696969697,0.911012779133231,0.4163282886672,3.27869755481721,3.24336684976628,0.0463800938312109,0.0644625900730686,0.00598751538874525,0.00420554006600577,8,8963.37696,0.627534936507937,0.257660268301462,12857.3826390239,0.0423459515914916,"small.world"
0.00446464646464646,0.910895258220434,0.431459990098696,3.27681172677926,3.24428137442376,0.0466622169177825,0.0591048802171571,0.00781005734978858,0.00432452920643145,8,8805.45254,0.626738783549784,0.263918212556136,12845.9075912336,0.0432671648596675,"small.world"
0.00495959595959596,0.911003244738369,0.474729067496984,3.27563246630067,3.24602377944105,0.0465875222039244,0.0654194521542048,0.00667118576526252,0.00440582252466546,8,8264.6603,0.624555333333333,0.280075463785224,11919.2387013386,0.0458621416581611,"small.world"
0.00545454545454545,0.911127335175174,0.506065973249185,3.27766083675444,3.24780352342241,0.0465258320050237,0.0608187234108985,0.00550870453027582,0.0052147616953277,8,8076.41998,0.623292396825397,0.293808859255753,11451.5440291216,0.0476628097187718,"small.world"
0.00594949494949495,0.910440489825755,0.551004959955712,3.27666152135336,3.25026517845052,0.0467744530132639,0.0630528118638887,0.00744783424256338,0.00457199166814516,8,7610.38344,0.620625805194805,0.310342915713385,10608.2773733416,0.0509573406979405,"small.world"
0.00644444444444444,0.911164760375559,0.577980192732274,3.27986149045069,3.25042421213666,0.0463859127990874,0.0615289921450057,0.00775605855360427,0.00404374118201289,8,7362.10328,0.618908005772006,0.321236538132496,10417.1428111676,0.0526534282058391,"small.world"
